country,year,hog,hog_ideology,hog_party_eng,leader,leader_ideology,leader_party_eng
Argentina,1985,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
Argentina,1986,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
Argentina,1987,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
Argentina,1988,Raul Ricardo Alfonsin Foulkes,leftist,Radical Civic Union,Alfonsin,leftist,Radical Civic Union
Argentina,1989,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1990,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1991,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1992,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1993,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1994,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1995,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1996,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1997,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1998,Carlos Saul Menem Akil,rightist,Justicialist [Peronist] Party,Menem,rightist,Justicialist [Peronist] Party
Argentina,1999,Fernando de la Rua Bruno,centrist,Radical Civic Union,de la Rua,centrist,Radical Civic Union
Argentina,2000,Fernando de la Rua Bruno,centrist,Radical Civic Union,de la Rua,centrist,Radical Civic Union
Argentina,2001,Adolfo Rodriguez Saa Paez Montero,leftist,Justicialist [Peronist] Party,Adolfo Rodriguez Saa,leftist,Justicialist [Peronist] Party
Argentina,2002,Eduardo Alberto Duhalde Maldonado,leftist,Justicialist [Peronist] Party,Eduardo Duhalde,leftist,Justicialist [Peronist] Party
Argentina,2003,Nestor Carlos Kirchner Ostoic,leftist,Justicialist [Peronist] Party,Nestor Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2004,Nestor Carlos Kirchner Ostoic,leftist,Justicialist [Peronist] Party,Nestor Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2005,Nestor Carlos Kirchner Ostoic,leftist,Justicialist [Peronist] Party,Nestor Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2006,Nestor Carlos Kirchner Ostoic,leftist,Justicialist [Peronist] Party,Nestor Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2007,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2008,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2009,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2010,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2011,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2012,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2013,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2014,Cristina Fernandez de Kirchner,leftist,Justicialist [Peronist] Party,Fernandez de Kirchner,leftist,Justicialist [Peronist] Party
Argentina,2015,Mauricio Macri,rightist,Republican Proposal,Mauricio Macri,rightist,Republican Proposal
Argentina,2016,Mauricio Macri,rightist,Republican Proposal,Mauricio Macri,rightist,Republican Proposal
Argentina,2017,Mauricio Macri,rightist,Republican Proposal,Mauricio Macri,rightist,Republican Proposal
Argentina,2018,Mauricio Macri,rightist,Republican Proposal,Mauricio Macri,rightist,Republican Proposal
Argentina,2019,Alberto Fernandez,leftist,Justicialist [Peronist] Party,Fernandez,leftist,Justicialist [Peronist] Party
Argentina,2020,Alberto Fernandez,leftist,Justicialist [Peronist] Party,Fernandez,leftist,Justicialist [Peronist] Party
Bolivia,1945,Gualberto Villarroel Lopez,leftist,Revolutionary Nationalist Movement,Villarroel,leftist,Revolutionary Nationalist Movement
Bolivia,1946,Tomas Monje Gutierrez,leftist,none,Gutierrez,leftist,none
Bolivia,1947,Jose Enrique Hertzog Garaizabal,rightist,Republican Socialist Unity Party,Herzog,rightist,Republican Socialist Unity Party
Bolivia,1948,Jose Enrique Hertzog Garaizabal,rightist,Republican Socialist Unity Party,Herzog,rightist,Republican Socialist Unity Party
Bolivia,1949,Mamerto Urriolagoitia Harriague,rightist,Republican Socialist Unity Party,Urriolagoitia,rightist,Republican Socialist Unity Party
Bolivia,1950,Mamerto Urriolagoitia Harriague,rightist,Republican Socialist Unity Party,Urriolagoitia,rightist,Republican Socialist Unity Party
Bolivia,1951,Hugo Ballivian Rojas,rightist,none,Ballivian Rojas,rightist,none
Bolivia,1952,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1953,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1954,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1955,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1956,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement,Siles Zuazo,leftist,Revolutionary Nationalist Movement
Bolivia,1957,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement,Siles Zuazo,leftist,Revolutionary Nationalist Movement
Bolivia,1958,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement,Siles Zuazo,leftist,Revolutionary Nationalist Movement
Bolivia,1959,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement,Siles Zuazo,leftist,Revolutionary Nationalist Movement
Bolivia,1960,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1961,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1962,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1963,Angel Victor Paz Estenssoro,leftist,Revolutionary Nationalist Movement,Paz Estenssoro,leftist,Revolutionary Nationalist Movement
Bolivia,1964,Rene Barrientos Ortuno,rightist,none,Barrientos Ortuna,rightist,none
Bolivia,1965,[Collective Body],rightist,none,Barrientos Ortuna,rightist,none
Bolivia,1966,Rene Barrientos Ortuno,rightist,Popular Christian Movement,Barrientos Ortuna,rightist,Popular Christian Movement
Bolivia,1967,Rene Barrientos Ortuno,rightist,Popular Christian Movement,Barrientos Ortuna,rightist,Popular Christian Movement
Bolivia,1968,Rene Barrientos Ortuno,rightist,Popular Christian Movement,Barrientos Ortuna,rightist,Popular Christian Movement
Bolivia,1969,Alfredo Ovando Candia,rightist,none,Ovando Candia,rightist,none
Bolivia,1970,Juan Jose Torres Gonzalez,leftist,none,Torres,leftist,none
Bolivia,1971,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1972,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1973,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1974,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1975,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1976,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1977,Hugo Banzer Suarez,rightist,none,Banzer Suarez,rightist,none
Bolivia,1978,David Padilla Arancibia,leftist,none,Padilla Aranciba,leftist,none
Bolivia,1979,Lidia Gueiler Tejada,leftist,Revolutionary Party of the National Left,Lidia Gueiler Tejada,leftist,Revolutionary Party of the National Left
Bolivia,1980,Luis Garcia Meza Tejada,rightist,none,Garcia Meza Tejada,rightist,none
Bolivia,1981,Celso Torrelio Villa,rightist,none,Torrelio Villa,rightist,none
Bolivia,1982,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left,Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left
Bolivia,1983,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left,Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left
Bolivia,1984,Hernan Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left,Siles Zuazo,leftist,Revolutionary Nationalist Movement of the Left
Bolivia,1985,Angel Victor Paz Estenssoro,rightist,Revolutionary Nationalist Movement,Paz Estenssoro,rightist,Revolutionary Nationalist Movement
Bolivia,1986,Angel Victor Paz Estenssoro,rightist,Revolutionary Nationalist Movement,Paz Estenssoro,rightist,Revolutionary Nationalist Movement
Bolivia,1987,Angel Victor Paz Estenssoro,rightist,Revolutionary Nationalist Movement,Paz Estenssoro,rightist,Revolutionary Nationalist Movement
Bolivia,1988,Angel Victor Paz Estenssoro,rightist,Revolutionary Nationalist Movement,Paz Estenssoro,rightist,Revolutionary Nationalist Movement
Bolivia,1989,Jaime Paz Zamora,leftist,Revolutionary Left Movement - New Majority,Paz Zamora,leftist,Revolutionary Left Movement - New Majority
Bolivia,1990,Jaime Paz Zamora,leftist,Revolutionary Left Movement - New Majority,Paz Zamora,leftist,Revolutionary Left Movement - New Majority
Bolivia,1991,Jaime Paz Zamora,leftist,Revolutionary Left Movement - New Majority,Paz Zamora,leftist,Revolutionary Left Movement - New Majority
Bolivia,1992,Jaime Paz Zamora,leftist,Revolutionary Left Movement - New Majority,Paz Zamora,leftist,Revolutionary Left Movement - New Majority
Bolivia,1993,Gonzalo Sanchez de Lozada Sanchez Bustamante,rightist,Revolutionary Nationalist Movement,Gonzalo Sanchez de Lozada,rightist,Revolutionary Nationalist Movement
Bolivia,1994,Gonzalo Sanchez de Lozada Sanchez Bustamante,rightist,Revolutionary Nationalist Movement,Gonzalo Sanchez de Lozada,rightist,Revolutionary Nationalist Movement
Bolivia,1995,Gonzalo Sanchez de Lozada Sanchez Bustamante,rightist,Revolutionary Nationalist Movement,Gonzalo Sanchez de Lozada,rightist,Revolutionary Nationalist Movement
Bolivia,1996,Gonzalo Sanchez de Lozada Sanchez Bustamante,rightist,Revolutionary Nationalist Movement,Gonzalo Sanchez de Lozada,rightist,Revolutionary Nationalist Movement
Bolivia,1997,Hugo Banzer Suarez,rightist,Nationalist Democratic Action,Banzer Suarez,rightist,Nationalist Democratic Action
Bolivia,1998,Hugo Banzer Suarez,rightist,Nationalist Democratic Action,Banzer Suarez,rightist,Nationalist Democratic Action
Bolivia,1999,Hugo Banzer Suarez,rightist,Nationalist Democratic Action,Banzer Suarez,rightist,Nationalist Democratic Action
Bolivia,2000,Hugo Banzer Suarez,rightist,Nationalist Democratic Action,Banzer Suarez,rightist,Nationalist Democratic Action
Bolivia,2001,Jorge Fernando Arturo Quiroga Ramirez,rightist,Nationalist Democratic Action,Jorge Quiroga Ramirez,rightist,Nationalist Democratic Action
Bolivia,2002,Gonzalo Sanchez de Lozada Sanchez Bustamante,rightist,Revolutionary Nationalist Movement,Gonzalo Sanchez de Lozada,rightist,Revolutionary Nationalist Movement
Bolivia,2003,Carlos Diego Luis Mesa Gisbert,centrist,none,Carlos Mesa,centrist,none
Bolivia,2004,Carlos Diego Luis Mesa Gisbert,centrist,none,Carlos Mesa,centrist,none
Bolivia,2005,Enrique Eduardo Rodriguez Veltze,centrist,none,Enrique Rodriguez,centrist,none
Bolivia,2006,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2007,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2008,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2009,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2010,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2011,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2012,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2013,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2014,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2015,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2016,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2017,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2018,Juan Evo Morales Ayma,leftist,Movement for Socialism,Juan Morales,leftist,Movement for Socialism
Bolivia,2019,Jeanine Anez Chavez,rightist,Democrat Social Movement,Anez,rightist,Democrat Social Movement
Bolivia,2020,Luis Arce,leftist,Movement for Socialism,Arce,leftist,Movement for Socialism
Brazil,1945,Jose Linhares,no information,none,Linhares,no information,none
Brazil,1946,Eurico Gaspar Dutra,rightist,Social Democratic Party,Dutra,rightist,Social Democratic Party
Brazil,1947,Eurico Gaspar Dutra,rightist,Social Democratic Party,Dutra,rightist,Social Democratic Party
Brazil,1948,Eurico Gaspar Dutra,rightist,Social Democratic Party,Dutra,rightist,Social Democratic Party
Brazil,1949,Eurico Gaspar Dutra,rightist,Social Democratic Party,Dutra,rightist,Social Democratic Party
Brazil,1950,Eurico Gaspar Dutra,rightist,Social Democratic Party,Dutra,rightist,Social Democratic Party
Brazil,1951,Getulio Dorneles Vargas,leftist,Brazilian Labour Party (1945),Vargas,leftist,Brazilian Labour Party (1945)
Brazil,1952,Getulio Dorneles Vargas,leftist,Brazilian Labour Party (1945),Vargas,leftist,Brazilian Labour Party (1945)
Brazil,1953,Getulio Dorneles Vargas,leftist,Brazilian Labour Party (1945),Vargas,leftist,Brazilian Labour Party (1945)
Brazil,1954,Joao Fernandes de Campos Cafe Filho,leftist,Brazilian Labour Party (1945),Cafe Filho,leftist,Brazilian Labour Party (1945)
Brazil,1955,Nereu de Oliveira Ramos,rightist,Social Democratic Party,Oliveria Ramos,rightist,Social Democratic Party
Brazil,1956,Juscelino Kubitschek de Oliveira,rightist,Social Democratic Party,Kubitschek,rightist,Social Democratic Party
Brazil,1957,Juscelino Kubitschek de Oliveira,rightist,Social Democratic Party,Kubitschek,rightist,Social Democratic Party
Brazil,1958,Juscelino Kubitschek de Oliveira,rightist,Social Democratic Party,Kubitschek,rightist,Social Democratic Party
Brazil,1959,Juscelino Kubitschek de Oliveira,rightist,Social Democratic Party,Kubitschek,rightist,Social Democratic Party
Brazil,1960,Juscelino Kubitschek de Oliveira,rightist,Social Democratic Party,Kubitschek,rightist,Social Democratic Party
Brazil,1961,Tancredo de Almeida Neves,centrist,Social Democratic Party,Goulart,leftist,Social Democratic Party
Brazil,1962,Hermes Lima,leftist,Brazilian Socialist Party,Goulart,leftist,Brazilian Labour Party (1945)
Brazil,1963,Joao Belchior Marques Goulart,leftist,Brazilian Labour Party (1945),Goulart,leftist,Brazilian Labour Party (1945)
Brazil,1964,Humberto de Alencar Castelo Branco,rightist,none,Castello Branco,rightist,none
Brazil,1965,Humberto de Alencar Castelo Branco,rightist,none,Castello Branco,rightist,none
Brazil,1966,Humberto de Alencar Castelo Branco,rightist,none,Castello Branco,rightist,none
Brazil,1967,Artur da Costa e Silva,rightist,National Renewal Alliance,Costa de Silva,rightist,National Renewal Alliance
Brazil,1968,Artur da Costa e Silva,rightist,National Renewal Alliance,Costa de Silva,rightist,National Renewal Alliance
Brazil,1969,Emilio Garrastazu Medici,rightist,National Renewal Alliance,Medici,rightist,National Renewal Alliance
Brazil,1970,Emilio Garrastazu Medici,rightist,National Renewal Alliance,Medici,rightist,National Renewal Alliance
Brazil,1971,Emilio Garrastazu Medici,rightist,National Renewal Alliance,Medici,rightist,National Renewal Alliance
Brazil,1972,Emilio Garrastazu Medici,rightist,National Renewal Alliance,Medici,rightist,National Renewal Alliance
Brazil,1973,Emilio Garrastazu Medici,rightist,National Renewal Alliance,Medici,rightist,National Renewal Alliance
Brazil,1974,Ernesto Beckmann Geisel,rightist,National Renewal Alliance,Geisel,rightist,National Renewal Alliance
Brazil,1975,Ernesto Beckmann Geisel,rightist,National Renewal Alliance,Geisel,rightist,National Renewal Alliance
Brazil,1976,Ernesto Beckmann Geisel,rightist,National Renewal Alliance,Geisel,rightist,National Renewal Alliance
Brazil,1977,Ernesto Beckmann Geisel,rightist,National Renewal Alliance,Geisel,rightist,National Renewal Alliance
Brazil,1978,Ernesto Beckmann Geisel,rightist,National Renewal Alliance,Geisel,rightist,National Renewal Alliance
Brazil,1979,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1980,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1981,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1982,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1983,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1984,Joao Baptista de Oliveira Figueiredo,rightist,Democratic Social Party,Figueiredo,rightist,Democratic Social Party
Brazil,1985,Jose Sarney Costa,rightist,Liberal Front / Democrats,Sarnay,rightist,Liberal Front / Democrats
Brazil,1986,Jose Sarney Costa,rightist,Liberal Front / Democrats,Sarnay,rightist,Liberal Front / Democrats
Brazil,1987,Jose Sarney Costa,rightist,Liberal Front / Democrats,Sarnay,rightist,Liberal Front / Democrats
Brazil,1988,Jose Sarney Costa,rightist,Liberal Front / Democrats,Sarnay,rightist,Liberal Front / Democrats
Brazil,1989,Jose Sarney Costa,rightist,Liberal Front / Democrats,Sarnay,rightist,Liberal Front / Democrats
Brazil,1990,Fernando Alfonso Collor de Mello,rightist,National Reconstruction Party / Christian Labour Party,Mello,rightist,National Reconstruction Party / Christian Labour Party
Brazil,1991,Fernando Alfonso Collor de Mello,rightist,National Reconstruction Party / Christian Labour Party,Mello,rightist,National Reconstruction Party / Christian Labour Party
Brazil,1992,Itamar Augusto Cautiero Franco,centrist,Brazilian Democratic Movement Party,"Franco, Itamar",centrist,Brazilian Democratic Movement Party
Brazil,1993,Itamar Augusto Cautiero Franco,centrist,Brazilian Democratic Movement Party,"Franco, Itamar",centrist,Brazilian Democratic Movement Party
Brazil,1994,Itamar Augusto Cautiero Franco,centrist,Brazilian Democratic Movement Party,"Franco, Itamar",centrist,Brazilian Democratic Movement Party
Brazil,1995,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,1996,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,1997,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,1998,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,1999,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,2000,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,2001,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,2002,Fernando Henrique Silva Cardoso,centrist,Brazilian Social Democracy Party,Cardoso,centrist,Brazilian Social Democracy Party
Brazil,2003,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2004,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2005,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2006,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2007,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2008,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2009,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2010,Luiz Inacio Lula da Silva,leftist,Workers' Party,Lula da Silva,leftist,Workers' Party
Brazil,2011,Dilma Vana Rousseff,leftist,Workers' Party,Rousseff,leftist,Workers' Party
Brazil,2012,Dilma Vana Rousseff,leftist,Workers' Party,Rousseff,leftist,Workers' Party
Brazil,2013,Dilma Vana Rousseff,leftist,Workers' Party,Rousseff,leftist,Workers' Party
Brazil,2014,Dilma Vana Rousseff,leftist,Workers' Party,Rousseff,leftist,Workers' Party
Brazil,2015,Dilma Vana Rousseff,leftist,Workers' Party,Rousseff,leftist,Workers' Party
Brazil,2016,Michel Miguel Elias Temer Lulia,rightist,Brazilian Democratic Movement Party,Temer,rightist,Brazilian Democratic Movement Party
Brazil,2017,Michel Miguel Elias Temer Lulia,rightist,Brazilian Democratic Movement Party,Temer,rightist,Brazilian Democratic Movement Party
Brazil,2018,Michel Miguel Elias Temer Lulia,rightist,Brazilian Democratic Movement Party,Temer,rightist,Brazilian Democratic Movement Party
Brazil,2019,Jair Messias Bolsonaro,rightist,Social Liberal Party,Bolsonaro,rightist,Social Liberal Party
Brazil,2020,Jair Messias Bolsonaro,rightist,Social Liberal Party,Bolsonaro,rightist,Social Liberal Party
Chile,1945,Juan Antonio Rios Morales,leftist,Radical Party,Rios Morales,leftist,Radical Party
Chile,1946,Gabriel Gonzalez Videla,leftist,Radical Party,Gonzalez Videla,leftist,Radical Party
Chile,1947,Gabriel Gonzalez Videla,leftist,Radical Party,Gonzalez Videla,leftist,Radical Party
Chile,1948,Gabriel Gonzalez Videla,leftist,Radical Party,Gonzalez Videla,leftist,Radical Party
Chile,1949,Gabriel Gonzalez Videla,leftist,Radical Party,Gonzalez Videla,leftist,Radical Party
